Year;beans_hectare;beans_improved_hectare;beans_improved_cost;beans_hectare_fertilizer;beans_fertilizer_cost;beans_chemical_hectare;beans_chemical_cost;beans_machinery_hectare;beans_machinery_cost;beans_harvested;beans_sold;beans_sold_price;beans_harvest_loss;filter;filter_quartile
2014;0.404686;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;6000;720;10000;600;17321;3
2014;0.809372;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;1220;160;100000;20;101402;3
2014;10.11715;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;90;76;25000;14;25205;3
2014;6.07029;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;550;400;120000;22;120987;3
2014;10.11715;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;100;93;25000;7;25225;3
2014;2.02343;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;400;378;50000;22;50805;3
2014;2.02343;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;80;75;50000;5;50165;3
2014;1.214058;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;1000;800;600000;150;601953;3
2014;0.809372;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;600;550;70000;70;71222;3
2014;2.02343;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;1300;1200;700000;100;702605;3
2014;10.11715;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;100;86;7500;14;7725;3
2014;2.02343;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;80;20;20000;10;20115;3
2014;0.404686;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;720;600;100000;15;101336;3
2014;2.02343;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;430;400;200000;55;200890;3
2014;0.809372;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;700;550;840000;150;841402;3
2014;2.02343;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;187;120;60000;10;60322;3
2014;2.02343;2.5352387647058823;319703.99999999994;0.9700561470588235;107826.25;1.571133882352941;50395.1525;0.7498593529411764;168769.99999999997;80;20;20000;10;20115;3
